full_path,gender,age
imdb_crop/02/nm0000002_rm1346607872_1924-9-16_2004.jpg,0,79
imdb_crop/02/nm0000002_rm1363385088_1924-9-16_2004.jpg,0,79
imdb_crop/02/nm0000002_rm2287049216_1924-9-16_2007.jpg,0,82
imdb_crop/02/nm0000002_rm2585828096_1924-9-16_2006.jpg,0,81
imdb_crop/02/nm0000002_rm2769394176_1924-9-16_2006.jpg,0,81
imdb_crop/02/nm0000002_rm2780403712_1924-9-16_2004.jpg,0,79
imdb_crop/02/nm0000002_rm2983566080_1924-9-16_2007.jpg,0,82
imdb_crop/02/nm0000002_rm3453524224_1924-9-16_2007.jpg,0,82
imdb_crop/02/nm0000002_rm3730086656_1924-9-16_2006.jpg,0,81
imdb_crop/02/nm0000002_rm3954154240_1924-9-16_2006.jpg,0,81
imdb_crop/02/nm0000002_rm4111175424_1924-9-16_2010.jpg,0,85
imdb_crop/02/nm0000002_rm800626688_1924-9-16_2006.jpg,0,81
imdb_crop/02/nm0000002_rm81958912_1924-9-16_2005.jpg,0,80
imdb_crop/05/nm0000005_rm2898368768_1918-7-14_2003.jpg,1,84
imdb_crop/08/nm0000008_rm2318828288_1924-4-3_2010.jpg,1,85
imdb_crop/08/nm0000008_rm790334976_1924-4-3_1996.jpg,1,71
imdb_crop/18/nm0000018_rm1432335616_1916-12-9_2010.jpg,1,93
imdb_crop/18/nm0000018_rm1449112832_1916-12-9_2010.jpg,1,93
imdb_crop/18/nm0000018_rm1902885376_1916-12-9_2003.jpg,1,86
imdb_crop/18/nm0000018_rm1916308992_1916-12-9_1994.jpg,1,77
imdb_crop/18/nm0000018_rm2087434752_1916-12-9_2003.jpg,1,86
imdb_crop/18/nm0000018_rm2959722752_1916-12-9_1994.jpg,1,77
imdb_crop/18/nm0000018_rm2993277184_1916-12-9_1994.jpg,1,77
imdb_crop/18/nm0000018_rm3010054400_1916-12-9_1994.jpg,1,77
imdb_crop/24/nm0000024_rm2104020480_1904-4-14_1992.jpg,1,87
imdb_crop/24/nm0000024_rm2746069760_1904-4-14_1982.jpg,1,77
imdb_crop/24/nm0000024_rm3473444352_1904-4-14_1989.jpg,1,84
imdb_crop/24/nm0000024_rm3920271616_1904-4-14_1996.jpg,1,91
imdb_crop/24/nm0000024_rm758943232_1904-4-14_1996.jpg,1,91
imdb_crop/24/nm0000024_rm872661504_1904-4-14_1977.jpg,1,72
imdb_crop/30/nm0000030_rm348371200_1929-5-4_2010.jpg,0,80
imdb_crop/32/nm0000032_rm2971130880_1923-10-4_1994.jpg,1,70
imdb_crop/32/nm0000032_rm3309211136_1923-10-4_1996.jpg,1,72
imdb_crop/32/nm0000032_rm3984235264_1923-10-4_1998.jpg,1,74
imdb_crop/32/nm0000032_rm506501888_1923-10-4_2001.jpg,1,77
imdb_crop/33/nm0000033_rm3465465344_1899-8-13_1972.jpg,1,72
imdb_crop/33/nm0000033_rm3482242560_1899-8-13_1972.jpg,1,72
imdb_crop/33/nm0000033_rm3787776_1899-8-13_1972.jpg,1,72
imdb_crop/33/nm0000033_rm54119424_1899-8-13_1972.jpg,1,72
imdb_crop/40/nm0000040_rm1111931136_1928-7-26_1999.jpg,1,70
imdb_crop/47/nm0000047_rm1306102528_1934-9-20_2009.jpg,0,74
imdb_crop/47/nm0000047_rm1346358784_1934-9-20_2014.jpg,0,79
imdb_crop/47/nm0000047_rm1564462592_1934-9-20_2014.jpg,0,79
imdb_crop/47/nm0000047_rm193449728_1934-9-20_2014.jpg,0,79
imdb_crop/47/nm0000047_rm2849623808_1934-9-20_2014.jpg,0,79
imdb_crop/47/nm0000047_rm2882899456_1934-9-20_2009.jpg,0,74
imdb_crop/47/nm0000047_rm754749184_1934-9-20_2009.jpg,0,74
imdb_crop/47/nm0000047_rm771526400_1934-9-20_2009.jpg,0,74
imdb_crop/47/nm0000047_rm788303616_1934-9-20_2009.jpg,0,74
imdb_crop/53/nm0000053_rm2721549824_1917-8-6_1988.jpg,1,70
imdb_crop/53/nm0000053_rm3694235136_1917-8-6_1991.jpg,1,73
imdb_crop/54/nm0000054_rm1933945600_1926-6-1_2012.jpg,0,85
imdb_crop/57/nm0000057_rm3094840320_1910-3-1_1982.jpg,1,71
imdb_crop/59/nm0000059_rm1245498368_1907-5-22_1979.jpg,1,71
imdb_crop/59/nm0000059_rm3052373760_1907-5-22_1981.jpg,1,73
imdb_crop/59/nm0000059_rm3510291456_1907-5-22_1978.jpg,1,70
imdb_crop/59/nm0000059_rm3778317824_1907-5-22_1981.jpg,1,73
imdb_crop/60/nm0000060_rm3677457920_1916-4-5_1991.jpg,1,74
imdb_crop/63/nm0000063_rm3743649280_1915-4-21_1991.jpg,1,75
imdb_crop/64/nm0000064_rm3633303040_1893-12-12_1973.jpg,1,79
imdb_crop/64/nm0000064_rm813747712_1893-12-12_1973.jpg,1,79
imdb_crop/66/nm0000066_rm2034342400_1921-6-21_2007.jpg,0,85
imdb_crop/66/nm0000066_rm2307562240_1921-6-21_2005.jpg,0,83
imdb_crop/66/nm0000066_rm2324339456_1921-6-21_2005.jpg,0,83
imdb_crop/66/nm0000066_rm3189676544_1921-6-21_2006.jpg,0,84
imdb_crop/66/nm0000066_rm3986724352_1921-6-21_2008.jpg,0,86
imdb_crop/73/nm0000073_rm1800313344_1928-4-23_2006.jpg,0,77
imdb_crop/73/nm0000073_rm921696512_1928-4-23_2003.jpg,0,74
imdb_crop/76/nm0000076_rm784055040_1932-2-6_2010.jpg,1,77
imdb_crop/80/nm0000080_rm381995520_1915-5-6_2013.jpg,1,97
imdb_crop/90/nm0000090_rm1561565184_1930-12-17_2001.jpg,1,70
imdb_crop/90/nm0000090_rm1595119616_1930-12-17_2001.jpg,1,70
imdb_crop/92/nm0000092_rm812232960_1939-10-27_2011.jpg,1,71
imdb_crop/95/nm0000095_rm113767424_1935-12-1_2015.jpg,1,79
imdb_crop/95/nm0000095_rm1176475392_1935-12-1_2008.jpg,1,72
imdb_crop/95/nm0000095_rm1193252608_1935-12-1_2008.jpg,1,72
imdb_crop/95/nm0000095_rm1255845888_1935-12-1_2011.jpg,1,75
imdb_crop/95/nm0000095_rm1310693120_1935-12-1_2008.jpg,1,72
imdb_crop/95/nm0000095_rm1502128640_1935-12-1_2012.jpg,1,76
imdb_crop/95/nm0000095_rm1611897344_1935-12-1_2007.jpg,1,71
imdb_crop/95/nm0000095_rm1645451776_1935-12-1_2007.jpg,1,71
imdb_crop/95/nm0000095_rm1662228992_1935-12-1_2007.jpg,1,71
imdb_crop/95/nm0000095_rm2015336192_1935-12-1_2008.jpg,1,72
imdb_crop/95/nm0000095_rm2032113408_1935-12-1_2008.jpg,1,72
imdb_crop/95/nm0000095_rm2762446848_1935-12-1_2007.jpg,1,71
imdb_crop/95/nm0000095_rm293775872_1935-12-1_2012.jpg,1,76
imdb_crop/95/nm0000095_rm332699392_1935-12-1_2008.jpg,1,72
imdb_crop/95/nm0000095_rm3433540096_1935-12-1_2012.jpg,1,76
imdb_crop/95/nm0000095_rm3448551680_1935-12-1_2011.jpg,1,75
imdb_crop/95/nm0000095_rm3456156160_1935-12-1_2014.jpg,1,78
imdb_crop/95/nm0000095_rm349476608_1935-12-1_2008.jpg,1,72
imdb_crop/95/nm0000095_rm3914760448_1935-12-1_2010.jpg,1,74
imdb_crop/95/nm0000095_rm3955356672_1935-12-1_2015.jpg,1,79
imdb_crop/95/nm0000095_rm435075072_1935-12-1_2011.jpg,1,75
imdb_crop/95/nm0000095_rm601860608_1935-12-1_2012.jpg,1,76
imdb_crop/95/nm0000095_rm702523904_1935-12-1_2012.jpg,1,76
imdb_crop/95/nm0000095_rm752855552_1935-12-1_2012.jpg,1,76
imdb_crop/95/nm0000095_rm82548992_1935-12-1_2006.jpg,1,70
imdb_crop/25/nm0000125_rm1147771136_1930-8-25_2003.jpg,1,72
imdb_crop/27/nm0000127_rm1137685248_1939-8-2_2011.jpg,1,71
imdb_crop/27/nm0000127_rm1271902976_1939-8-2_2011.jpg,1,71
imdb_crop/27/nm0000127_rm162432512_1939-8-2_2010.jpg,1,70
imdb_crop/27/nm0000127_rm3315382272_1939-8-2_2011.jpg,1,71
imdb_crop/27/nm0000127_rm3365713920_1939-8-2_2011.jpg,1,71
imdb_crop/27/nm0000127_rm3933111808_1939-8-2_2010.jpg,1,70
imdb_crop/27/nm0000127_rm3949889024_1939-8-2_2010.jpg,1,70
imdb_crop/34/nm0000134_rm2765804800_1943-8-17_2014.jpg,1,70
imdb_crop/40/nm0000140_rm524993280_1944-9-25_2015.jpg,1,70
imdb_crop/40/nm0000140_rm736032000_1944-9-25_2015.jpg,1,70
imdb_crop/42/nm0000142_rm1054640640_1930-5-31_2008.jpg,1,77
imdb_crop/42/nm0000142_rm1071417856_1930-5-31_2008.jpg,1,77
imdb_crop/42/nm0000142_rm131893760_1930-5-31_2008.jpg,1,77
